Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,31,15,18.677444,9.686303,32.77013
1,31,16,20.193388,28.087834,25.408538
1,31,17,0,0,0
1,31,18,0,0,0
1,31,19,0,0,0
1,31,20,0,0,0
1,31,21,0,0,0
1,31,22,0,0,0
1,31,23,0,0,0
2,1,0,0,0,0
2,1,1,0,0,0
2,1,2,0,0,0
2,1,3,0,0,0
2,1,4,0,0,0
2,1,5,0,0,0
2,1,6,0,0,0
2,1,7,4.14788275,0.170536375,0
2,1,8,35.503032,9.399948,1.39797375
2,1,9,40.159508,19.905848,1.60103725
2,1,10,41.706012,28.428238,8.1147715
2,1,11,35.796512,29.676926,9.380022
2,1,12,42.222968,28.290892,9.700265
2,1,13,42.296456,30.37279,16.341755
2,1,14,40.811364,35.733452,9.214579
2,1,15,36.07774,26.85413,10.15167
2,1,16,20.190662,4.749944,10.244451
2,1,17,0,0,0
2,1,18,0,0,0
2,1,19,0,0,0
2,1,20,0,0,0
2,1,21,0,0,0
2,1,22,0,0,0
2,1,23,0,0,0
2,2,0,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,7,25.292296,0,16.305723
2,2,8,40.20306,0.7492155,37.663828
2,2,9,43.790532,14.946622,43.967836
2,2,10,44.52724,23.726984,44.575652
2,2,11,43.873736,15.824013,44.779752
2,2,12,43.566424,20.48119,44.742608
2,2,13,43.607912,24.391892,44.278628
2,2,14,42.303184,26.731566,43.5318
2,2,15,38.564628,21.12649,40.84892
2,2,16,23.437078,2.528311,30.04323
2,2,17,0,0,0
2,2,18,0,0,0
2,2,19,0,0,0
2,2,20,0,0,0
2,2,21,0,0,0
2,2,22,0,0,0
2,2,23,0,0,0
2,3,0,0,0,0
2,3,1,0,0,0
2,3,2,0,0,0
2,3,3,0,0,0
2,3,4,0,0,0
2,3,5,0,0,0
2,3,6,0,0,0
2,3,7,24.965902,7.8769065,14.989775
2,3,8,39.981636,29.525856,34.957068
2,3,9,43.276448,35.686896,40.688168
2,3,10,43.883944,37.011492,40.83168
2,3,11,43.331044,29.01823,41.076036
2,3,12,43.322352,36.881464,40.862152
2,3,13,43.159736,36.764852,40.864284
2,3,14,42.226556,23.877268,38.952248
2,3,15,38.143804,33.357936,36.2658
2,3,16,24.505778,25.788766,28.14642
2,3,17,0,0,0
2,3,18,0,0,0
2,3,19,0,0,0
2,3,20,0,0,0
2,3,21,0,0,0
2,3,22,0,0,0
2,3,23,0,0,0
2,4,0,0,0,0
2,4,1,0,0,0
2,4,2,0,0,0
2,4,3,0,0,0
2,4,4,0,0,0
2,4,5,0,0,0
2,4,6,0,0,0
2,4,7,24.186716,8.918561,2.703498
2,4,8,38.722248,30.426582,19.121544
2,4,9,42.652564,36.509832,39.059144
2,4,10,42.745716,37.1778,35.961176
2,4,11,42.81306,37.208076,39.859956
2,4,12,42.507996,37.111872,37.018612
2,4,13,41.15394,37.07224,36.341776
2,4,14,40.358572,35.382544,37.45472
2,4,15,35.382452,33.250468,25.710328
2,4,16,22.525836,26.260038,11.897011
2,4,17,0,0,0
2,4,18,0,0,0
2,4,19,0,0,0
2,4,20,0,0,0
2,4,21,0,0,0
2,4,22,0,0,0
2,4,23,0,0,0
2,5,0,0,0,0
2,5,1,0,0,0
2,5,2,0,0,0
2,5,3,0,0,0
2,5,4,0,0,0
2,5,5,0,0,0
2,5,6,0,0,0
2,5,7,24.866846,1.792627625,15.641717
2,5,8,38.807428,33.56882,36.195024
